Date, Open, High, Low, Close
02/25/19, 2804.35, 2813.49, 2794.99, 2796.11
02/22/19, 2780.67, 2794.20, 2779.11, 2792.67
02/21/19, 2780.24, 2781.58, 2764.55, 2774.88
02/20/19, 2779.05, 2789.88, 2774.06, 2784.70
02/19/19, 2769.28, 2787.33, 2767.29, 2779.76
02/15/19, 2760.24, 2775.66, 2760.24, 2775.60
02/14/19, 2743.50, 2757.90, 2731.23, 2745.73
02/13/19, 2750.30, 2761.85, 2748.63, 2753.03
02/12/19, 2722.61, 2748.19, 2722.61, 2744.73
02/11/19, 2712.40, 2718.05, 2703.79, 2709.80
02/08/19, 2692.36, 2708.07, 2681.83, 2707.88
02/07/19, 2717.53, 2719.32, 2687.26, 2706.05
02/06/19, 2735.05, 2738.08, 2724.15, 2731.61
02/05/19, 2728.34, 2738.98, 2724.03, 2737.70
02/04/19, 2706.49, 2724.99, 2698.75, 2724.87
02/01/19, 2702.32, 2716.66, 2696.88, 2706.53
01/31/19, 2685.49, 2708.95, 2678.65, 2704.10
01/30/19, 2653.62, 2690.44, 2648.34, 2681.05
01/29/19, 2644.89, 2650.93, 2631.05, 2640.00
01/28/19, 2644.97, 2644.97, 2624.06, 2643.85
01/25/19, 2657.44, 2672.38, 2657.33, 2664.76
01/24/19, 2638.84, 2647.20, 2627.01, 2642.33
01/23/19, 2643.48, 2653.19, 2612.86, 2638.70
01/22/19, 2657.88, 2657.88, 2617.27, 2632.90
01/18/19, 2651.27, 2675.47, 2647.58, 2670.71
01/17/19, 2609.28, 2645.06, 2606.36, 2635.96
01/16/19, 2614.75, 2625.76, 2612.68, 2616.10
01/15/19, 2585.10, 2613.08, 2585.10, 2610.30
01/14/19, 2580.31, 2589.32, 2570.41, 2582.61
01/11/19, 2588.11, 2596.27, 2577.40, 2596.26
01/10/19, 2573.51, 2597.82, 2562.02, 2596.64
01/09/19, 2580.00, 2595.32, 2568.89, 2584.96
01/08/19, 2568.11, 2579.82, 2547.56, 2574.41
01/07/19, 2535.61, 2566.16, 2524.56, 2549.69
01/04/19, 2474.33, 2538.07, 2474.33, 2531.94
01/03/19, 2491.92, 2493.14, 2443.96, 2447.89
01/02/19, 2476.96, 2519.49, 2467.47, 2510.03
12/31/18, 2498.94, 2509.24, 2482.82, 2506.85
12/28/18, 2498.77, 2520.27, 2472.89, 2485.74
12/27/18, 2442.50, 2489.10, 2397.94, 2488.83
12/26/18, 2363.12, 2467.76, 2346.58, 2467.70
12/24/18, 2400.56, 2410.34, 2351.10, 2351.10
12/21/18, 2465.38, 2504.41, 2408.55, 2416.62
12/20/18, 2496.77, 2509.63, 2441.18, 2467.42
12/19/18, 2547.05, 2585.29, 2488.96, 2506.96
12/18/18, 2559.90, 2573.99, 2528.71, 2546.16
12/17/18, 2590.75, 2601.13, 2530.54, 2545.94
12/14/18, 2629.68, 2635.07, 2593.84, 2599.95
12/13/18, 2658.70, 2670.19, 2637.27, 2650.54
12/12/18, 2658.23, 2685.44, 2650.26, 2651.07
12/11/18, 2664.44, 2674.35, 2621.30, 2636.78
12/10/18, 2630.86, 2647.51, 2583.23, 2637.72
12/07/18, 2691.26, 2708.54, 2623.14, 2633.08
12/06/18, 2663.51, 2695.54, 2621.53, 2695.95
12/04/18, 2782.43, 2785.93, 2697.18, 2700.06
12/03/18, 2790.50, 2800.18, 2773.38, 2790.37
11/30/18, 2737.76, 2760.88, 2732.76, 2760.17
11/29/18, 2736.97, 2753.75, 2722.94, 2737.76
11/28/18, 2691.45, 2744.00, 2684.38, 2743.79
11/27/18, 2663.75, 2682.53, 2655.89, 2682.17
11/26/18, 2649.97, 2674.35, 2649.97, 2673.45
11/23/18, 2633.36, 2647.55, 2631.09, 2632.56
11/21/18, 2657.74, 2670.73, 2649.82, 2649.93
11/20/18, 2654.60, 2669.44, 2631.52, 2641.89
11/19/18, 2730.74, 2733.16, 2681.09, 2690.73
11/16/18, 2718.54, 2746.75, 2712.16, 2736.27
11/15/18, 2693.52, 2735.38, 2670.75, 2730.20
11/14/18, 2737.90, 2746.80, 2685.75, 2701.58
11/13/18, 2730.05, 2754.60, 2714.98, 2722.18
11/12/18, 2773.93, 2775.99, 2722.00, 2726.22
11/09/18, 2794.10, 2794.10, 2764.24, 2781.01
11/08/18, 2806.38, 2814.75, 2794.99, 2806.83
11/07/18, 2774.13, 2815.15, 2774.13, 2813.89
11/06/18, 2738.40, 2756.82, 2737.08, 2755.45
11/05/18, 2726.37, 2744.27, 2717.94, 2738.31
11/02/18, 2745.45, 2756.55, 2700.44, 2723.06
11/01/18, 2717.58, 2741.67, 2708.85, 2740.37
10/31/18, 2705.60, 2736.69, 2705.60, 2711.74
10/30/18, 2640.68, 2685.43, 2635.34, 2682.63
10/29/18, 2682.65, 2706.85, 2603.54, 2641.25
10/26/18, 2667.86, 2692.38, 2628.16, 2658.69
10/25/18, 2674.88, 2722.70, 2667.84, 2705.57
10/24/18, 2737.87, 2742.59, 2651.89, 2656.10
10/23/18, 2721.03, 2753.59, 2691.43, 2740.69
10/22/18, 2773.94, 2778.94, 2749.22, 2755.88
10/19/18, 2775.66, 2797.77, 2760.27, 2767.78
10/18/18, 2802.00, 2806.04, 2755.18, 2768.78
10/17/18, 2811.67, 2816.94, 2781.81, 2809.21
10/16/18, 2767.05, 2813.46, 2766.91, 2809.92
10/15/18, 2763.83, 2775.99, 2749.03, 2750.79
10/12/18, 2770.54, 2775.77, 2729.44, 2767.13
10/11/18, 2776.87, 2795.14, 2710.51, 2728.37
10/10/18, 2873.90, 2874.02, 2784.86, 2785.68
10/09/18, 2882.51, 2894.83, 2874.27, 2880.34
10/08/18, 2877.53, 2889.45, 2862.08, 2884.43
10/05/18, 2902.54, 2909.64, 2869.29, 2885.57
10/04/18, 2919.35, 2919.78, 2883.92, 2901.61
10/03/18, 2931.69, 2939.86, 2921.36, 2925.51
10/02/18, 2923.80, 2931.42, 2919.37, 2923.43
10/01/18, 2926.29, 2937.06, 2917.91, 2924.59
09/28/18, 2910.03, 2920.53, 2907.50, 2913.98
09/27/18, 2911.65, 2927.22, 2909.27, 2914.00
09/26/18, 2916.98, 2931.15, 2903.28, 2905.97
09/25/18, 2921.75, 2923.95, 2913.70, 2915.56
09/24/18, 2921.83, 2923.79, 2912.63, 2919.37
09/21/18, 2936.76, 2940.91, 2927.11, 2929.67
09/20/18, 2919.73, 2934.80, 2919.73, 2930.75
09/19/18, 2906.60, 2912.36, 2903.82, 2907.95
09/18/18, 2890.74, 2911.17, 2890.43, 2904.31
09/17/18, 2903.83, 2904.65, 2886.16, 2888.80
09/14/18, 2906.38, 2908.30, 2895.77, 2904.98
09/13/18, 2896.85, 2906.76, 2896.39, 2904.18
09/12/18, 2888.29, 2894.65, 2879.20, 2888.92
09/11/18, 2871.57, 2892.52, 2866.78, 2887.89
09/10/18, 2881.39, 2886.93, 2875.94, 2877.13
09/07/18, 2868.26, 2883.81, 2864.12, 2871.68
09/06/18, 2888.64, 2892.05, 2867.29, 2878.05
09/05/18, 2891.59, 2894.21, 2876.92, 2888.60
09/04/18, 2896.96, 2900.18, 2885.13, 2896.72
08/31/18, 2898.37, 2906.32, 2891.73, 2901.52
08/30/18, 2908.94, 2912.46, 2895.22, 2901.13
08/29/18, 2900.62, 2916.50, 2898.40, 2914.04
08/28/18, 2901.45, 2903.77, 2893.50, 2897.52
08/27/18, 2884.69, 2898.25, 2884.69, 2896.74
08/24/18, 2862.35, 2876.16, 2862.35, 2874.69
08/23/18, 2860.29, 2868.78, 2854.03, 2856.98
08/22/18, 2860.99, 2867.54, 2856.05, 2861.82
08/21/18, 2861.51, 2873.23, 2861.32, 2862.96
08/20/18, 2853.93, 2859.76, 2850.62, 2857.05
08/17/18, 2838.32, 2855.63, 2833.73, 2850.13
08/16/18, 2831.44, 2850.49, 2831.44, 2840.69
08/15/18, 2827.95, 2827.95, 2802.49, 2818.37
08/14/18, 2827.88, 2843.11, 2826.58, 2839.96
08/13/18, 2835.46, 2843.40, 2819.88, 2821.93
08/10/18, 2839.64, 2842.20, 2825.81, 2833.28
08/09/18, 2857.19, 2862.48, 2851.98, 2853.58
08/08/18, 2856.79, 2862.44, 2853.09, 2857.70
08/07/18, 2855.92, 2863.43, 2855.92, 2858.45
08/06/18, 2840.29, 2853.29, 2835.98, 2850.40
08/03/18, 2829.62, 2840.38, 2827.37, 2840.35
08/02/18, 2800.48, 2829.91, 2796.34, 2827.22
08/01/18, 2821.17, 2825.83, 2805.85, 2813.36
07/31/18, 2809.73, 2824.46, 2808.06, 2816.29
07/30/18, 2819.00, 2821.74, 2798.11, 2802.60
07/27/18, 2842.35, 2843.17, 2808.34, 2818.82
07/26/18, 2835.49, 2845.57, 2835.26, 2837.44
07/25/18, 2817.73, 2848.03, 2817.73, 2846.07
07/24/18, 2820.68, 2829.99, 2811.12, 2820.40
07/23/18, 2799.17, 2808.61, 2795.14, 2806.98
07/20/18, 2804.55, 2809.70, 2800.01, 2801.83
07/19/18, 2809.37, 2812.05, 2799.77, 2804.49
07/18/18, 2811.35, 2816.76, 2805.89, 2815.62
07/17/18, 2789.34, 2814.19, 2789.24, 2809.55
07/16/18, 2801.43, 2803.71, 2793.39, 2798.43
07/13/18, 2796.93, 2804.53, 2791.69, 2801.31
07/12/18, 2783.14, 2799.22, 2781.53, 2798.29
07/11/18, 2779.82, 2785.91, 2770.77, 2774.02
07/10/18, 2788.56, 2795.58, 2786.24, 2793.84
07/09/18, 2768.51, 2784.65, 2768.51, 2784.17
07/06/18, 2737.68, 2764.41, 2733.52, 2759.82
07/05/18, 2724.19, 2737.83, 2716.02, 2736.61
07/03/18, 2733.27, 2736.58, 2711.16, 2713.22
07/02/18, 2704.95, 2727.26, 2698.95, 2726.71
06/29/18, 2727.13, 2743.26, 2718.03, 2718.37
06/28/18, 2698.69, 2724.34, 2691.99, 2716.31
06/27/18, 2728.45, 2746.09, 2699.38, 2699.63
06/26/18, 2722.12, 2732.91, 2715.60, 2723.06
06/25/18, 2742.94, 2742.94, 2698.67, 2717.07
06/22/18, 2760.79, 2764.17, 2752.68, 2754.88
06/21/18, 2769.28, 2769.28, 2744.39, 2749.76
06/20/18, 2769.73, 2774.86, 2763.91, 2767.32
06/19/18, 2752.01, 2765.05, 2743.19, 2762.59
06/18/18, 2765.79, 2774.99, 2757.12, 2773.75
06/15/18, 2777.78, 2782.81, 2761.73, 2779.66
06/14/18, 2783.21, 2789.06, 2776.52, 2782.49
06/13/18, 2787.94, 2791.47, 2774.65, 2775.63
06/12/18, 2785.60, 2789.80, 2778.78, 2786.85
06/11/18, 2780.18, 2790.21, 2780.17, 2782.00
06/08/18, 2765.84, 2779.39, 2763.59, 2779.03
06/07/18, 2774.84, 2779.90, 2760.16, 2770.37
06/06/18, 2753.25, 2772.39, 2748.46, 2772.35
06/05/18, 2748.46, 2752.61, 2739.51, 2748.80
06/04/18, 2741.67, 2749.16, 2740.54, 2746.87
06/01/18, 2718.70, 2736.93, 2718.70, 2734.62
05/31/18, 2720.98, 2722.50, 2700.68, 2705.27
05/30/18, 2702.43, 2729.34, 2702.43, 2724.01
05/29/18, 2705.11, 2710.67, 2676.81, 2689.86
05/25/18, 2723.60, 2727.36, 2714.99, 2721.33
05/24/18, 2730.94, 2731.97, 2707.38, 2727.76
05/23/18, 2713.98, 2733.33, 2709.54, 2733.29
05/22/18, 2738.34, 2742.24, 2721.88, 2724.44
05/21/18, 2725.95, 2739.19, 2725.70, 2733.01
05/18/18, 2717.35, 2719.50, 2709.18, 2712.97
05/17/18, 2719.71, 2731.96, 2711.36, 2720.13
05/16/18, 2712.62, 2727.76, 2712.17, 2722.46
05/15/18, 2718.59, 2718.59, 2701.91, 2711.45
05/14/18, 2733.37, 2742.10, 2725.47, 2730.13
05/11/18, 2722.70, 2732.86, 2717.45, 2727.72
05/10/18, 2705.02, 2726.11, 2704.54, 2723.07
05/09/18, 2678.12, 2701.27, 2674.14, 2697.79
05/08/18, 2670.26, 2676.34, 2655.20, 2671.92
05/07/18, 2669.36, 2683.35, 2664.70, 2672.63
05/04/18, 2621.45, 2670.93, 2615.32, 2663.42
05/03/18, 2628.08, 2637.14, 2594.62, 2629.73
05/02/18, 2654.24, 2660.87, 2631.70, 2635.67
05/01/18, 2643.64, 2655.27, 2625.41, 2654.80
